"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
69,"Bergama","bergama","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
70,"Beydağ","beydag","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
71,"Bornova","bornova","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
72,"Buca","buca","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
73,"Çeşme","cesme","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
74,"Çiğli","cigli","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
75,"Dikili","dikili","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
76,"Foça","foca","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
77,"Gaziemir","gaziemir","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
78,"Güzelbahçe","guzelbahce","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
79,"Karabağlar","karabaglar","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
80,"Karaburun","karaburun","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
81,"Karşıyaka","karsiyaka","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
82,"Kemalpaşa","kemalpasa","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
83,"Kınık","kinik","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
84,"Kiraz","kiraz","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
85,"Konak","konak","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
86,"Menderes","menderes","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
87,"Menemen","menemen","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
88,"Narlıdere","narlidere","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
89,"Ödemiş","odemis","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
90,"Seferihisar","seferihisar","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
91,"Selçuk","selcuk","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
92,"Tire","tire","2018-05-28 11:46:57","2018-05-28 11:46:57",,3,,
