"id","name","slug","created_at","updated_at","deleted_at","districtId","latitude","longitude"
40131,"Ekecik","ekecik","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40142,"Kamberağa","kamberaga","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40151,"Köçevi","kocevi","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40159,"Laleli","laleli","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40168,"Mendemeköyçukuru","mendemekoycukuru","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40177,"Sarhan","sarhan","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40189,"Yazıgediği","yazigedigi","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40198,"Yenidoğan","yenidogan","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40208,"Yurtbaşı","yurtbasi","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40216,"Bulmuş","bulmus","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40229,"Elmalı Merkez","elmali-merkez","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40240,"Güzbulak","guzbulak","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40249,"Kalecik","kalecik","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40261,"Mustafabey","mustafabey","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40271,"Topalhasan","topalhasan","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40280,"Bulanık","bulanik","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40293,"Bahçeşehir","bahcesehir","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40305,"Pelitli","pelitli","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40313,"Ocakbaşı","ocakbasi","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40324,"Terzibaba","terzibaba","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40332,"Ballıtaş","ballitas","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40342,"Emek","emek","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40351,"Hatuncuk","hatuncuk","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40361,"Kandilli","kandilli","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
